Value or potential value created by Generative AI 4,Classification,Accelerate development of creative content,"Increase automation in tasks, without reducing employment",Automate tasks to replace employees,Achieve cost eficiencies,Improve client or customer experience,Drive data-driven decision making,Minimize workorce recruitment and retention challenges,"Value or potential value created by Generative AI, other"
"Ownership by visible minority, Japanese","Ownership by visible minority, all visible minorities",,,0,,,,0,0
"Ownership by visible minority, other visible minority","Ownership by visible minority, all visible minorities",,100,,,0,,0,
"Ownership by visible minority, preerred not to say","Ownership by visible minority, all visible minorities",,,0,,,11.3,0,
Exported goods outside o Canada,"Business or organization activity in the last 12 months, all business or organization activities",75.2,59,18.5,42.3,37,42.1,16.8,1
Exported services outside o Canada,"Business or organization activity in the last 12 months, all business or organization activities",81.3,51.9,15.8,58.7,38.6,60.3,10.3,3
Made investments outside o Canada,"Business or organization activity in the last 12 months, all business or organization activities",68.8,14,9.1,24.9,43.8,39.3,2.5,0
Sold goods to businesses in Canada who then resold them outside o Canada,"Business or organization activity in the last 12 months, all business or organization activities",68.1,61.2,41.6,67.2,64.8,53.3,28.8,4.8
Imported goods rom outside o Canada,"Business or organization activity in the last 12 months, all business or organization activities",68.9,47.9,9.5,34.1,36.6,25.4,5.2,0.3
Imported services rom outside o Canada,"Business or organization activity in the last 12 months, all business or organization activities",76.1,54.7,18.7,49.4,45.3,40.6,14.8,5.9
Relocated any business or organizational activities or employees rom another country into Canada,"Business or organization activity in the last 12 months, all business or organization activities",83.8,95.5,65.1,83.9,93.1,85.5,67.3,0.2
Relocated any business or organizational activities or employees rom Canada to another country,"Business or organization activity in the last 12 months, all business or organization activities",95.9,,,87.5,,,0.4,
Engaged in other international business activities,"Business or organization activity in the last 12 months, all business or organization activities",82.6,86.5,9.4,,,23.1,4.6,1.8
"Business or organization activity, none or other","Business or organization activity in the last 12 months, all business or organization activities",66.4,41.5,12.1,28.1,36.3,23.2,10.8,3.9
